Category,Relative Link
Blood/lymphatic system,/conditionCategory/blood-lymphatic-system
"Bones, muscles, and connective tissues",/conditionCategory/bones-muscles-and-connective-tissues
Brain and nervous system,/conditionCategory/brain-and-nervous-system
Cancers,/conditionCategory/cancers
Digestive system,/conditionCategory/digestive-system
"Ear, nose, and throat",/conditionCategory/ear-nose-and-throat
Endocrine system (hormones),/conditionCategory/endocrine-system-hormones
Eyes and vision,/conditionCategory/eyes-and-vision
"Food, nutrition, and metabolism",/conditionCategory/food-nutrition-and-metabolism
Heart and circulation,/conditionCategory/heart-and-circulation
Immune system,/conditionCategory/immune-system
Kidneys and urinary system,/conditionCategory/kidneys-and-urinary-system
Lungs and breathing,/conditionCategory/lungs-and-breathing
Mental health and behavior,/conditionCategory/mental-health-and-behavior
Mouth and teeth,/conditionCategory/mouth-and-teeth
Reproductive system,/conditionCategory/reproductive-system
"Skin, hair, and nails",/conditionCategory/skin-hair-and-nails
