Category,Condition,Alias,Relative Link
Blood/lymphatic system,5-oxoprolinemia,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency
Blood/lymphatic system,5-oxoprolinuria,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency
Blood/lymphatic system,5q minus syndrome,,/condition/5q-minus-syndrome
Blood/lymphatic system,8p11 myeloproliferative syndrome,,/condition/8p11-myeloproliferative-syndrome
Blood/lymphatic system,11q deletion disorder,jacobsen syndrome,/condition/jacobsen-syndrome
Blood/lymphatic system,11q deletion syndrome,jacobsen syndrome,/condition/jacobsen-syndrome
Blood/lymphatic system,11q terminal deletion disorder,jacobsen syndrome,/condition/jacobsen-syndrome
Blood/lymphatic system,11q23 deletion disorder,jacobsen syndrome,/condition/jacobsen-syndrome
Blood/lymphatic system,a-alphalipoprotein neuropathy,tangier disease,/condition/tangier-disease
Blood/lymphatic system,a-t,ataxia-telangiectasia,/condition/ataxia-telangiectasia
Blood/lymphatic system,aase-smith syndrome ii,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,aase syndrome,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,abetalipoproteinemia,,/condition/abetalipoproteinemia
Blood/lymphatic system,acanthocytosis,abetalipoproteinemia,/condition/abetalipoproteinemia
Blood/lymphatic system,acanthocytosis with neurologic disorder,chorea-acanthocytosis,/condition/chorea-acanthocytosis
Blood/lymphatic system,aceruloplasminemia,,/condition/aceruloplasminemia
Blood/lymphatic system,acute febrile mucocutaneous lymph node syndrome,kawasaki disease,/condition/kawasaki-disease
Blood/lymphatic system,acute myelogenous leukemia with normal karyotype,cytogenetically normal acute myeloid leukemia,/condition/cytogenetically-normal-acute-myeloid-leukemia
Blood/lymphatic system,acute promyelocytic leukemia,,/condition/acute-promyelocytic-leukemia
Blood/lymphatic system,ada2 deficiency,adenosine deaminase 2 deficiency,/condition/adenosine-deaminase-2-deficiency
Blood/lymphatic system,adenosine deaminase 2 deficiency,,/condition/adenosine-deaminase-2-deficiency
Blood/lymphatic system,afibrinogenemia,congenital afibrinogenemia,/condition/congenital-afibrinogenemia
Blood/lymphatic system,agnogenic myeloid metaplasia,primary myelofibrosis,/condition/primary-myelofibrosis
Blood/lymphatic system,ahus,atypical hemolytic-uremic syndrome,/condition/atypical-hemolytic-uremic-syndrome
Blood/lymphatic system,alpha high density lipoprotein deficiency disease,tangier disease,/condition/tangier-disease
Blood/lymphatic system,alpha thalassemia,,/condition/alpha-thalassemia
Blood/lymphatic system,alpha thalassemia x-linked intellectual disability syndrome,,/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome
Blood/lymphatic system,aml m3,acute promyelocytic leukemia,/condition/acute-promyelocytic-leukemia
Blood/lymphatic system,analphalipoproteinemia,tangier disease,/condition/tangier-disease
Blood/lymphatic system,"anemia, dyserythropoietic, congenital",congenital dyserythropoietic anemia,/condition/congenital-dyserythropoietic-anemia
Blood/lymphatic system,"anemia, hereditary sideroblastic",x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia
Blood/lymphatic system,"anemia, hypochromic microcytic, with defect in iron metabolism",iron-refractory iron deficiency anemia,/condition/iron-refractory-iron-deficiency-anemia
Blood/lymphatic system,"anemia, sex-linked hypochromic sideroblastic",x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia
Blood/lymphatic system,angiohemophilia,von willebrand disease,/condition/von-willebrand-disease
Blood/lymphatic system,anh1,x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia
Blood/lymphatic system,anti-phospholipid syndrome,antiphospholipid syndrome,/condition/antiphospholipid-syndrome
Blood/lymphatic system,antiphospholipid syndrome,,/condition/antiphospholipid-syndrome
Blood/lymphatic system,antithrombin iii deficiency,hereditary antithrombin deficiency,/condition/hereditary-antithrombin-deficiency
Blood/lymphatic system,"apc resistance, leiden type",factor v leiden thrombophilia,/condition/factor-v-leiden-thrombophilia
Blood/lymphatic system,apl,acute promyelocytic leukemia,/condition/acute-promyelocytic-leukemia
Blood/lymphatic system,apolipoprotein b deficiency,abetalipoproteinemia,/condition/abetalipoproteinemia
Blood/lymphatic system,arakawa syndrome 1,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency
Blood/lymphatic system,ataxia-telangiectasia,,/condition/ataxia-telangiectasia
Blood/lymphatic system,atm,ataxia-telangiectasia,/condition/ataxia-telangiectasia
Blood/lymphatic system,atr-x syndrome,alpha thalassemia x-linked intellectual disability syndrome,/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome
Blood/lymphatic system,atrx syndrome,alpha thalassemia x-linked intellectual disability syndrome,/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome
Blood/lymphatic system,atypical hemolytic-uremic syndrome,,/condition/atypical-hemolytic-uremic-syndrome
Blood/lymphatic system,atypical philadelphia-negative chronic myeloid leukemia,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia
Blood/lymphatic system,"autosomal dominant familial hematuria, retinal arteriolar tortuosity, contractures","hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",/condition/hereditary-angiopathy-with-nephropathy-aneurysms-and-muscle-cramps-syndrome
Blood/lymphatic system,autosomal dominant myh9 spectrum disorders,myh9-related disorder,/condition/myh9-related-disorder
Blood/lymphatic system,autosomal recessive congenital methemoglobinemia,,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,"basal ganglia disease, adult-onset",neuroferritinopathy,/condition/neuroferritinopathy
Blood/lymphatic system,bassen-kornzweig syndrome,abetalipoproteinemia,/condition/abetalipoproteinemia
Blood/lymphatic system,bda,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,bdplt4,gray platelet syndrome,/condition/gray-platelet-syndrome
Blood/lymphatic system,bds,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,benign familial polycythemia,familial erythrocytosis,/condition/familial-erythrocytosis
Blood/lymphatic system,benign paroxysmal peritonitis,familial mediterranean fever,/condition/familial-mediterranean-fever
Blood/lymphatic system,beta-sitosterolemia,sitosterolemia,/condition/sitosterolemia
Blood/lymphatic system,beta thalassemia,,/condition/beta-thalassemia
Blood/lymphatic system,betalipoprotein deficiency disease,abetalipoproteinemia,/condition/abetalipoproteinemia
Blood/lymphatic system,blackfan diamond anemia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,blackfan-diamond disease,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,blackfan-diamond syndrome,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,"bleeding disorder, platelet-type, 4",gray platelet syndrome,/condition/gray-platelet-syndrome
Blood/lymphatic system,blue baby syndrome,"methemoglobinemia, beta-globin type",/condition/methemoglobinemia-beta-globin-type
Blood/lymphatic system,c1 esterase inhibitor deficiency,hereditary angioedema,/condition/hereditary-angioedema
Blood/lymphatic system,c1 inhibitor deficiency,hereditary angioedema,/condition/hereditary-angioedema
Blood/lymphatic system,cbf acute myeloid leukemia,core binding factor acute myeloid leukemia,/condition/core-binding-factor-acute-myeloid-leukemia
Blood/lymphatic system,cbf-aml,core binding factor acute myeloid leukemia,/condition/core-binding-factor-acute-myeloid-leukemia
Blood/lymphatic system,ccm,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,cda,congenital dyserythropoietic anemia,/condition/congenital-dyserythropoietic-anemia
Blood/lymphatic system,cebpa-dependent familial acute myeloid leukemia,familial acute myeloid leukemia with mutated cebpa,/condition/familial-acute-myeloid-leukemia-with-mutated-cebpa
Blood/lymphatic system,central nervous system cavernous hemangioma,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,cerebral cavernous malformation,,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,cerebroside lipidosis syndrome,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,chac,chorea-acanthocytosis,/condition/chorea-acanthocytosis
Blood/lymphatic system,childhood-onset polyarteritis nodosa,adenosine deaminase 2 deficiency,/condition/adenosine-deaminase-2-deficiency
Blood/lymphatic system,cholesterol thesaurismosis,tangier disease,/condition/tangier-disease
Blood/lymphatic system,chorea-acanthocytosis,,/condition/chorea-acanthocytosis
Blood/lymphatic system,choreoacanthocytosis,chorea-acanthocytosis,/condition/chorea-acanthocytosis
Blood/lymphatic system,"chromosome 1q21.1 deletion syndrome, 200-kb",thrombocytopenia-absent radius syndrome,/condition/thrombocytopenia-absent-radius-syndrome
Blood/lymphatic system,chromosome 5q deletion syndrome,5q minus syndrome,/condition/5q-minus-syndrome
Blood/lymphatic system,chronic congenital agenerative anemia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,chronic familial methemoglobin reductase deficiency,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,chronic idiopathic myelofibrosis,primary myelofibrosis,/condition/primary-myelofibrosis
Blood/lymphatic system,chronic myelomonocytic leukemia,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia
Blood/lymphatic system,chronic myeloproliferative disorder with eosinophilia,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia
Blood/lymphatic system,"chronic recurrent multifocal osteomyelitis, congenital dyserythropoietic anemia, and neutrophilic dermatosis",majeed syndrome,/condition/majeed-syndrome
Blood/lymphatic system,cit,citrullinemia,/condition/citrullinemia
Blood/lymphatic system,citrullinemia,,/condition/citrullinemia
Blood/lymphatic system,classic distal renal tubular acidosis,slc4a1-associated distal renal tubular acidosis,/condition/slc4a1-associated-distal-renal-tubular-acidosis
Blood/lymphatic system,clonal eosinophilia with chronic myeloproliferative disorder,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia
Blood/lymphatic system,clopidogrel resistance,,/condition/clopidogrel-resistance
Blood/lymphatic system,cn-aml,cytogenetically normal acute myeloid leukemia,/condition/cytogenetically-normal-acute-myeloid-leukemia
Blood/lymphatic system,complete lcat deficiency,,/condition/complete-lcat-deficiency
