Category,Condition,Alias,Relative Link,OtherAliases
Blood/lymphatic system,5-oxoprolinemia,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency,"['5-oxoprolinemia', '5-oxoprolinuria', 'deficiency of glutathione synthase', 'deficiency of glutathione synthetase', 'pyroglutamic acidemia', 'pyroglutamic aciduria']"
Blood/lymphatic system,5-oxoprolinuria,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency,"['5-oxoprolinemia', '5-oxoprolinuria', 'deficiency of glutathione synthase', 'deficiency of glutathione synthetase', 'pyroglutamic acidemia', 'pyroglutamic aciduria']"
Blood/lymphatic system,5q minus syndrome,,/condition/5q-minus-syndrome,"['5q- syndrome', 'chromosome 5q deletion syndrome', 'myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality', 'myelodysplastic syndrome with 5q deletion', 'myelodysplastic syndrome with 5q deletion syndrome', 'refractory macrocytic anemia due to 5q deletion']"
Blood/lymphatic system,8p11 myeloproliferative syndrome,,/condition/8p11-myeloproliferative-syndrome,"['8p11 stem cell leukemia/lymphoma syndrome', '8p11 stem cell syndrome', 'myeloid and lymphoid neoplasms with FGFR1 abnormalities', 'stem cell leukemia/lymphoma']"
Blood/lymphatic system,11q deletion disorder,jacobsen syndrome,/condition/jacobsen-syndrome,"['11q23 deletion disorder', '11q deletion disorder', '11q deletion syndrome', '11q- deletion syndrome', '11q terminal deletion disorder', 'Jacobsen thrombocytopenia']"
Blood/lymphatic system,11q deletion syndrome,jacobsen syndrome,/condition/jacobsen-syndrome,"['11q23 deletion disorder', '11q deletion disorder', '11q deletion syndrome', '11q- deletion syndrome', '11q terminal deletion disorder', 'Jacobsen thrombocytopenia']"
Blood/lymphatic system,11q terminal deletion disorder,jacobsen syndrome,/condition/jacobsen-syndrome,"['11q23 deletion disorder', '11q deletion disorder', '11q deletion syndrome', '11q- deletion syndrome', '11q terminal deletion disorder', 'Jacobsen thrombocytopenia']"
Blood/lymphatic system,11q23 deletion disorder,jacobsen syndrome,/condition/jacobsen-syndrome,"['11q23 deletion disorder', '11q deletion disorder', '11q deletion syndrome', '11q- deletion syndrome', '11q terminal deletion disorder', 'Jacobsen thrombocytopenia']"
Blood/lymphatic system,a-alphalipoprotein neuropathy,tangier disease,/condition/tangier-disease,"['A-alphalipoprotein Neuropathy', 'alpha High Density Lipoprotein Deficiency Disease', 'Analphalipoproteinemia', 'Cholesterol thesaurismosis', 'Familial High Density Lipoprotein Deficiency Disease', 'Familial Hypoalphalipoproteinemia', 'HDL Lipoprotein Deficiency Disease', 'Lipoprotein Deficiency Disease, HDL, Familial', 'Tangier Disease Neuropathy', 'Tangier Hereditary Neuropathy']"
Blood/lymphatic system,a-t,ataxia-telangiectasia,/condition/ataxia-telangiectasia,"['A-T', 'ataxia telangiectasia syndrome', 'ATM', 'Louis-Bar syndrome', 'telangiectasia, cerebello-oculocutaneous']"
Blood/lymphatic system,aase-smith syndrome ii,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,aase syndrome,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,abetalipoproteinemia,,/condition/abetalipoproteinemia,"['Abetalipoproteinemia neuropathy', 'acanthocytosis', 'Apolipoprotein B deficiency', 'Bassen-Kornzweig Syndrome', 'Betalipoprotein Deficiency Disease', 'Congenital betalipoprotein deficiency syndrome', 'Microsomal Triglyceride Transfer Protein Deficiency Disease']"
Blood/lymphatic system,acanthocytosis,abetalipoproteinemia,/condition/abetalipoproteinemia,"['Abetalipoproteinemia neuropathy', 'acanthocytosis', 'Apolipoprotein B deficiency', 'Bassen-Kornzweig Syndrome', 'Betalipoprotein Deficiency Disease', 'Congenital betalipoprotein deficiency syndrome', 'Microsomal Triglyceride Transfer Protein Deficiency Disease']"
Blood/lymphatic system,acanthocytosis with neurologic disorder,chorea-acanthocytosis,/condition/chorea-acanthocytosis,"['acanthocytosis with neurologic disorder', 'CHAC', 'choreoacanthocytosis']"
Blood/lymphatic system,aceruloplasminemia,,/condition/aceruloplasminemia,"['deficiency of ferroxidase', 'familial apoceruloplasmin deficiency', 'hereditary ceruloplasmin deficiency', 'hypoceruloplasminemia', 'systemic hemosiderosis due to aceruloplasminemia']"
Blood/lymphatic system,acute febrile mucocutaneous lymph node syndrome,kawasaki disease,/condition/kawasaki-disease,"['acute febrile mucocutaneous lymph node syndrome', 'Kawasaki syndrome', 'KD', 'mucocutaneous lymph node syndrome']"
