diseaseName	geneCount	geneSymbol	diseaseCount	associationType	score_gdn	score_hpo	score_conf	score_total	count_total	parse	category	ideal
cystinuria	17	SLC3A1	18	GeneticVariation	0.76759269054386	1.0	4.0	0.6746297667614041	0.054229934924078085	cystinuria	Kidneys and urinary system	1.0001733873041474
mucopolysaccharidosis vi	6	ARSB	16	GeneticVariation	0.8372358506434859	0.0	4.0	0.4721301909008804	0.13736263736263735	mucopolysaccharidosis vi	Bones, muscles, and connective tissues	1.011330685174877
alkaptonuria	1	HGD	16	GeneticVariation	0.7338337958023621	0.0	4.0	0.3273673141233069	0.43859649122807015	alkaptonuria	Bones, muscles, and connective tissues	0.8761327694882372
cherubism	10	SH3BP2	9	GeneticVariation	0.729893695887165	0.0	4.0	0.3218511742420309	0.09328358208955224	cherubism	Bones, muscles, and connective tissues	1.1322634377145921
ellis-van creveld syndrome	5	EVC	12	GeneticVariation	0.7239400999151979	0.0	4.0	0.31351613988127713	0.16778523489932887	ellis van	Bones, muscles, and connective tissues	1.0788148615286441
alpha-mannosidosis	1	MAN2B1	4	GeneticVariation	0.723685559411218	0.0	4.0	0.31315978317570514	0.7575757575757576	alpha mannosidosis	Food, nutrition, and metabolism	0.7283673501484071
guanidinoacetate methyltransferase deficiency	2	GAMT	8	GeneticVariation	0.720567009140187	0.0	4.0	0.3087938127962617	0.3787878787878788	guanidinoacetate methyltransferase	Brain and nervous system	0.9293387395183698
acrodermatitis enteropathica	8	SLC39A4	18	GeneticVariation	0.7242525685514051	0.0	3.9	0.306453595971967	0.10593220338983053	acrodermatitis enteropathica	Skin, hair, and nails	1.1315316343238393
polycystic liver disease	13	SEC63	10	GeneticVariation	0.51311855027103	1.0	3.6	0.2883659703794421	0.07246376811594203	polycystic liver	Food, nutrition, and metabolism	1.1690793187682649
acrocallosal syndrome	5	KIF7	17	GeneticVariation	0.721134018280375	0.0	2.7	0.21208762559252506	0.15723270440251572	acrocallosal syndrome		1.1537168735322902
peroxisomal acyl-coa oxidase deficiency	1	ACOX1	10	GeneticVariation	0.720567009140187	0.0	2.4	0.1887938127962616	0.5555555555555556	peroxisomal acyl	Brain and nervous system	0.9249791037397318
fructose intolerance	3	ALDOB	15	GeneticVariation	0.6338248986287329	1.0	0.0	0.187354858080226	0.2380952380952381	fructose intolerance	Food, nutrition, and metabolism	1.1139528683472033
l-2-hydroxyglutaric aciduria	1	L2HGDH	8	GeneticVariation	0.411701027420562	1.0	4.0	0.17638143838878673	0.6097560975609756	l 2	Food, nutrition, and metabolism	0.9113933499984311
globozoospermia	2	SPATA16	4	GeneticVariation	0.62	1.0	0.0	0.16800000000000015	0.4310344827586207	globozoospermia	Reproductive system	1.007941347405567
propionic acidemia	10	PCCB	6	GeneticVariation	0.625103082261686	0.0	3.9	0.16764431516636025	0.09541984732824428	propionic acidemia	Food, nutrition, and metabolism	1.229260443796405
occult macular dystrophy	2	RP1L1	6	GeneticVariation	0.622551541130843	0.0	3.9	0.16407215758318028	0.4032258064516129	occult macular	Eyes and vision	1.0270904516219432
pulmonary alveolar microlithiasis	2	SLC34A2	7	GeneticVariation	0.621701027420562	0.0	3.9	0.16288143838878688	0.390625	pulmonary alveolar	Lungs and breathing	1.0354252154641717
monilethrix	6	KRT86	10	GeneticVariation	0.624252568551405	0.0	3.8	0.15895359597196698	0.14705882352941174	monilethrix	Skin, hair, and nails	1.1978596346181452
brown-vialetto-van laere syndrome	4	SLC52A3	17	GeneticVariation	0.622268036560749	0.0	3.8	0.1561752511850485	0.1865671641791045	brown vialetto	Bones, muscles, and connective tissues	1.1720551118032974
maple syrup urine disease	13	BCKDHB	14	AlteredExpression	0.631869330704191	0.0	3.6	0.15461706298586742	0.0708215297450425	maple syrup	Brain and nervous system	1.2562025870774123
chylomicron retention disease	9	SAR1B	8	GeneticVariation	0.62311855027103	0.0	3.7	0.14986597037944205	0.10373443983402487	chylomicron retention	Digestive system	1.2353217486381907
roberts syndrome	7	ESCO2	15	GeneticVariation	0.6234020548411241	0.0	3.6	0.1427628767775737	0.12195121951219512	roberts syndrome		1.2271206730989348
erythrokeratodermia variabilis	5	GJB4	15	GeneticVariation	0.6219845319906561	0.0	3.6	0.14077834478691842	0.16129032258064516	erythrokeratodermia variabilis	Skin, hair, and nails	1.2007063653466596
enlarged vestibular aqueduct	8	FOXI1	5	GeneticVariation	0.411417522850468	1.0	3.5	0.13848453199065516	0.11904761904761905	enlarged vestibular	Ear, nose, and throat	1.2321874853791648
fucosidosis	1	FUCA1	5	GeneticVariation	0.621417522850468	0.0	3.5	0.13248453199065535	0.7142857142857143	fucosidosis	Brain and nervous system	0.9133541154977607
holocarboxylase synthetase deficiency	3	HLCS	11	GeneticVariation	0.620283504570094	0.0	3.5	0.13089690639813156	0.2577319587628866	holocarboxylase synthetase	Brain and nervous system	1.1429357078813835
reticular dysgenesis	4	AK2	4	GeneticVariation	0.621134018280375	0.0	3.4	0.1245876255925249	0.23148148148148145	reticular dysgenesis	Bones, muscles, and connective tissues	1.1648894962920868
mulibrey nanism	5	TRIM37	16	GeneticVariation	0.633492363100041	0.0	3.1	0.11938930834005745	0.1592356687898089	mulibrey nanism		1.2175220124914055
megalocornea	4	CHRDL1	7	GeneticVariation	0.410283504570094	1.0	3.0	0.0993969063981317	0.21929824561403508	megalocornea	Eyes and vision	1.1918813537876072
brody myopathy	4	ATP2A1	13	AlteredExpression	0.622835045700937	0.0	3.0	0.09696906398131168	0.1984126984126984	brody myopathy	Bones, muscles, and connective tissues	1.207479636877078
meier-gorlin syndrome	6	ORC1	8	GeneticVariation	0.620850513710281	0.0	2.8	0.07919071919439348	0.15060240963855426	meier gorlin	Bones, muscles, and connective tissues	1.2527433887790302
cystinosis	12	CTNS	16	GeneticVariation	0.5383119407916339	0.0	4.0	0.053636717108287435	0.07530120481927711	cystinosis	Bones, muscles, and connective tissues	1.3231293682079088
pontocerebellar hypoplasia type 2a	1	TSEN54	16	GeneticVariation	0.620283504570094	0.0	2.3	0.04089690639813148	0.43859649122807015	pontocerebellar hypoplasia	Brain and nervous system	1.1113292238657764
leukodystrophy, globoid cell	9	GALC	14	GeneticVariation	0.7427004324999781	0.0	0.0	0.0397806054999692	0.09881422924901184	leukodystrophy  globoid	Blood/lymphatic system	1.3168739799153366
porphyria, erythropoietic	6	UROS	8	GeneticVariation	0.734713273578757	0.0	0.0	0.02859858301025975	0.15060240963855426	porphyria  erythropoietic	Blood/lymphatic system	1.2903863682794798
norrie disease	9	NDP	18	GeneticVariation	0.730587731010662	0.0	0.0	0.02282282341492681	0.09578544061302682	norrie disease	Eyes and vision	1.331344885387011
