diseaseName,Number of genes,score,geneSymbol,geneName,relurl,category
canavan disease,4,0.8395529181628341,ASPA,aspartoacylase,/condition/canavan-disease,Brain and nervous system
cleidocranial dysplasia,3,0.763477022224114,RUNX2,runt-related transcription factor 2,/condition/cleidocranial-dysplasia,"Bones, muscles, and connective tissues"
glycogen storage disease type iib,4,0.741968536136738,LAMP2,lysosomal-associated membrane protein 2,/condition/danon-disease,"Bones, muscles, and connective tissues"
primary hyperoxaluria type 1,4,0.738144292485995,AGXT,alanine-glyoxylate aminotransferase,/condition/primary-hyperoxaluria,"Food, nutrition, and metabolism"
mucopolysaccharidosis vii,4,0.734742237644871,GUSB,"glucuronidase, beta",/condition/mucopolysaccharidosis-type-vii,"Bones, muscles, and connective tissues"
biotinidase deficiency,4,0.733853862694847,BTD,biotinidase,/condition/biotinidase-deficiency,Brain and nervous system
alkaptonuria,1,0.7338337958023621,HGD,"homogentisate 1,2-dioxygenase",/condition/alkaptonuria,"Bones, muscles, and connective tissues"
oculocutaneous albinism type 1,3,0.733324714794402,TYR,tyrosinase,/condition/chediak-higashi-syndrome,Eyes and vision
focal dermal hypoplasia,2,0.732670813455874,PORCN,porcupine homolog (Drosophila),/condition/focal-dermal-hypoplasia,"Bones, muscles, and connective tissues"
congenital contractural arachnodactyly,3,0.7305387000520641,FBN2,fibrillin 2,/condition/congenital-contractural-arachnodactyly,"Bones, muscles, and connective tissues"
papillorenal syndrome,2,0.729355650813091,PAX2,paired box 2,/condition/renal-coloboma-syndrome,Eyes and vision
"paralysis, hyperkalemic periodic",3,0.7293266867469771,SCN4A,"sodium channel, voltage gated, type IV alpha subunit",/condition/hyperkalemic-periodic-paralysis,"Bones, muscles, and connective tissues"
ulnar-mammary syndrome,4,0.72850513710281,TBX3,T-box 3,/condition/breast-cancer,Cancers
"blepharophimosis, ptosis, and epicanthus inversus",3,0.728270663491315,FOXL2,forkhead box L2,/condition/3mc-syndrome,"Bones, muscles, and connective tissues"
autosomal dominant lateral temporal lobe epilepsy,4,0.727087614252342,LGI1,"leucine-rich, glioma inactivated 1",/condition/22q112-deletion-syndrome,Brain and nervous system
triglyceride storage disease with impaired long-chain fatty acid oxidation,3,0.725953595971967,ABHD5,abhydrolase domain containing 5,/condition/chanarin-dorfman-syndrome,"Bones, muscles, and connective tissues"
"vitamin d hydroxylation-deficient rickets, type 1a",2,0.7251030822616858,CYP27B1,"cytochrome P450, family 27, subfamily B, polypeptide 1",/condition/ataxia-with-vitamin-e-deficiency,"Bones, muscles, and connective tissues"
allan-herndon-dudley syndrome,2,0.724819577691592,SLC16A2,"solute carrier family 16, member 2 (thyroid hormone transporter)",/condition/allan-herndon-dudley-syndrome,Brain and nervous system
"episodic ataxia, type 1",2,0.7245360731214989,KCNA1,"potassium channel, voltage gated shaker related subfamily A, member 1",/condition/dilated-cardiomyopathy-with-ataxia-syndrome,Brain and nervous system
giant axonal neuropathy,4,0.7242525685514051,GAN,gigaxonin,/condition/giant-axonal-neuropathy,Brain and nervous system
