gene	diseaseName	score_hpo
CYP7B1	Acholic stools	1
CYP7B1	Hepatic failure	1
CYP7B1	Steatorrhea	1
CYP7B1	Pruritus	1
CYP7B1	Hepatomegaly	1
CYP7B1	Jaundice	1
CYP7B1	Autosomal recessive inheritance	1
CYP7B1	Failure to thrive	1
CYP7B1	Gastrointestinal hemorrhage	1
CYP7B1	Intrahepatic cholestasis	1
CYP7B1	Diarrhea	1
CYP7B1	Abnormality of the coagulation cascade	1
CYP7B1	Cirrhosis	1
CYP7B1	Elevated hepatic transaminases	1
CYP7B1	Splenomegaly	1
CYP7B1	Neonatal onset	1
CYP7B1	Elevated alkaline phosphatase	1
CYP7B1	Congenital hepatic fibrosis	1
CYP7B1	Hepatitis	1
RENBP	Abnormality of the endocrine system	1
RENBP	X-linked inheritance	1
PROM1	Granular macular appearance	1
PROM1	Autosomal dominant inheritance	1
PROM1	Reduced visual acuity	1
PROM1	Perifoveal ring of hyperautofluorescence	1
PROM1	Dyschromatopsia	1
PROM1	Central scotoma	1
PROM1	Retinal pigment epithelial atrophy	1
PROM1	Macular dystrophy	1
BSCL2	Lower limb muscle weakness	1
BSCL2	First dorsal interossei muscle atrophy	1
BSCL2	Slow progression	1
BSCL2	Thenar muscle weakness	1
BSCL2	Impaired vibration sensation in the lower limbs	1
BSCL2	Hyperreflexia	1
BSCL2	Pes cavus	1
BSCL2	Spastic gait	1
BSCL2	Autosomal dominant inheritance	1
BSCL2	Babinski sign	1
BSCL2	Spastic paraplegia	1
BSCL2	First dorsal interossei muscle weakness	1
BSCL2	Thenar muscle atrophy	1
BSCL2	Lower limb spasticity	1
CYP11A1	Adrenocorticotropic hormone excess	1
CYP11A1	Renal salt wasting	1
CYP11A1	Hyperpigmentation of the skin	1
CYP11A1	Sex reversal	1
CYP11A1	Adrenal insufficiency	1
CYP11A1	Hyperaldosteronism	1
SOX17	Hydronephrosis	1
SOX17	Autosomal dominant inheritance	1
SOX17	Polyhydramnios	1
SOX17	Vesicoureteral reflux	1
SOX17	Hydroureter	1
CDT1	Narrow mouth	1
CDT1	Hypoplasia of the maxilla	1
CDT1	Birth length less than 3rd percentile	1
CDT1	Microcephaly	1
CDT1	Intrauterine growth retardation	1
CDT1	Feeding difficulties	1
CDT1	Patellar aplasia	1
CDT1	Cryptorchidism	1
CDT1	Slender long bone	1
CDT1	Thick lower lip vermilion	1
CDT1	Emphysema	1
CDT1	Microtia	1
CDT1	Failure to thrive	1
CDT1	Delayed skeletal maturation	1
CDT1	Lateral clavicle hook	1
CDT1	Micrognathia	1
CDT1	Genu recurvatum	1
CDT1	Autosomal recessive inheritance	1
CDT1	Low-set ears	1
CDT1	Breast hypoplasia	1
AIPL1	Autosomal recessive inheritance	1
AIPL1	Keratoconus	1
AIPL1	Nyctalopia	1
AIPL1	Macular atrophy	1
AIPL1	Reduced visual acuity	1
AIPL1	Attenuation of retinal blood vessels	1
AIPL1	Undetectable light- and dark-adapted electroretinogram	1
AIPL1	Cone/cone-rod dystrophy	1
AIPL1	Optic disc pallor	1
AIPL1	Pendular nystagmus	1
COX1	Mitochondrial inheritance	1
COX1	Headache	1
COX1	Abnormality of metabolism/homeostasis	1
COX1	Onset	1
COX1	Optic disc pallor	1
COX1	Sudden loss of visual acuity	1
COX1	Leber optic atrophy	1
COX1	Papilledema	1
COX1	Large central visual field defect	1
TTC21B	Autosomal recessive inheritance	1
TTC21B	Nephronophthisis	1
TTC21B	Stage 5 chronic kidney disease	1
IL10RB	Enterocolitis	1
IL10RB	Perianal abscess	1
IL10RB	Autosomal recessive inheritance	1
IL10RB	Rectovaginal fistula	1
IL10RB	Rectal abscess	1
DCDC2	Bile duct proliferation	1
DCDC2	Hepatic fibrosis	1
DCDC2	Hepatomegaly	1
DCDC2	Splenomegaly	1
DCDC2	Cholestasis	1
HESX1	Cryptorchidism	1
HESX1	Cognitive impairment	1
HESX1	Hypoglycemia	1
HESX1	Diabetes insipidus	1
HESX1	Abnormality of the hypothalamus-pituitary axis	1
HESX1	Primary adrenal insufficiency	1
HESX1	Primary amenorrhea	1
HESX1	Short stature	1
HESX1	Hypothyroidism	1
HESX1	Seizures	1
HESX1	Hypoplasia of penis	1
HESX1	Septo-optic dysplasia	1
GPR161	Cryptorchidism	1
GPR161	Cognitive impairment	1
GPR161	Hypoglycemia	1
GPR161	Diabetes insipidus	1
GPR161	Abnormality of the hypothalamus-pituitary axis	1
GPR161	Primary adrenal insufficiency	1
GPR161	Primary amenorrhea	1
GPR161	Short stature	1
GPR161	Hypothyroidism	1
GPR161	Seizures	1
